O_A,O_B,S_A,S_B
1.336373,-0.783942,0.942358,0.637808
0.366394,0.301379,0.411599,0.571533
1.294923,0.363226,0.574376,0.130330
1.174367,0.788897,0.048382,0.288601
-0.620865,-1.170279,0.787283,0.328861
-1.956802,1.623736,0.886645,0.844094
-0.015987,0.787227,0.728455,0.161716
-4.418460,1.751572,0.957871,0.103388
0.510237,-0.195736,0.585232,0.178043
0.460634,2.511825,0.377179,0.120922
1.604145,-0.119858,0.662556,0.324566
-0.417191,-0.870411,0.739122,0.250040
0.526523,-0.795640,0.804585,0.340424
2.809451,-2.263292,0.133710,0.224640
-0.769486,-0.763669,0.325530,0.404975
3.643873,0.429191,0.298830,0.585431
0.934799,0.889032,0.653310,0.873018
2.496328,0.719439,0.733142,0.895318
0.997767,1.631145,0.816323,0.613877
-0.733402,0.414204,0.641736,0.768926
-0.471570,-0.027577,0.780690,0.364313
1.907268,1.225392,0.196355,0.076481
-1.851829,0.799936,0.805786,0.879079
0.924316,0.608974,0.743382,0.629306
2.465562,-0.004994,0.544656,0.498308
-0.065652,0.764275,0.997825,0.821417
-1.223039,-2.709336,0.137703,0.507820
1.790238,2.202841,0.259678,0.650925
1.219574,-0.896412,0.871390,0.039758
1.618017,2.138174,0.271328,0.477209
-2.978511,-1.570261,0.652724,0.496017
-2.356840,2.411699,0.379662,0.704262
0.470264,-1.882062,0.952872,0.390472
-0.905206,1.739415,0.415493,0.000032
-1.137853,-2.607280,0.923712,0.255922
0.038838,-3.068914,0.772434,0.848549
-1.035370,3.118886,0.429689,0.474623
2.736066,-2.976337,0.249856,0.562997
-2.036974,-0.954367,0.121524,0.411299
0.358748,1.767538,0.409055,0.697029
0.571331,-2.765834,0.030216,0.190538
-1.194624,-1.597240,0.393493,0.277361
0.687720,-0.100989,0.184178,0.853732
0.067102,-1.880833,0.150304,0.897774
0.874000,2.771415,0.960790,0.288635
-2.333924,-0.896143,0.485593,0.115183
-0.290849,1.278003,0.622255,0.150506
0.046854,1.149527,0.284623,0.153124
3.632399,0.719070,0.860125,0.621179
2.054818,0.860948,0.446074,0.969427
-1.686246,0.819215,0.563629,0.206844
4.912830,1.925726,0.751375,0.444929
-2.372026,-1.061300,0.376900,0.757281
0.400899,1.037175,0.629512,0.339104
-1.835807,-1.072408,0.368130,0.209718
0.538982,4.160398,0.432210,0.360927
2.883526,1.954896,0.890491,0.208681
-0.849998,4.587549,0.848109,0.929594
-4.039936,0.761562,0.699346,0.847919
-0.875470,-2.478915,0.863052,0.315304
-1.590641,-0.694288,0.634356,0.156989
4.403724,0.397962,0.714661,0.232646
-0.352404,-0.758380,0.137507,0.495838
0.065365,-0.445640,0.025961,0.381048
0.186374,-3.936834,0.201304,0.564207
2.644323,2.633238,0.144354,0.936292
-2.446579,3.542588,0.336456,0.611416
2.210982,0.500568,0.249243,0.930458
1.615450,-0.816209,0.910157,0.149440
1.767997,-0.257005,0.182414,0.647566
6.810792,1.020527,0.505389,0.092103
-2.123977,-0.526396,0.934487,0.461197
-1.564622,1.472160,0.565865,0.766610
1.015331,0.457473,0.881499,0.246213
0.099593,0.760335,0.252496,0.314911
1.552255,0.482763,0.003282,0.258704
-4.190865,0.885971,0.430748,0.220365
-1.543509,1.167380,0.639594,0.254440
3.245662,0.008422,0.042433,0.162419
0.165564,0.259297,0.599733,0.730285
-0.355949,-0.676450,0.717176,0.193616
-1.452474,-0.748799,0.226265,0.171536
-2.067305,0.372049,0.923485,0.542725
0.891575,-0.332022,0.724637,0.284373
-2.022005,3.236235,0.803481,0.964608
0.373084,-0.526645,0.914198,0.500313
2.134259,2.431253,0.482602,0.006630
0.004254,-3.768283,0.023522,0.405069
1.996510,0.559386,0.684278,0.677100
0.527184,-2.420206,0.472209,0.973771
1.170397,-0.486049,0.636606,0.416051
-2.723942,0.249155,0.847856,0.323462
-3.268492,-2.603009,0.514565,0.778232
-0.928859,-2.107587,0.269659,0.918102
-3.005849,-2.655840,0.525155,0.713679
1.258152,0.345203,0.577398,0.373256
0.576367,0.375587,0.067041,0.180472
-2.194267,-4.909067,0.434475,0.751669
-2.240256,2.866528,0.494362,0.892782
0.424459,-2.518265,0.461515,0.598169
-0.645834,-0.001049,0.528452,0.618616
-1.373104,-0.997684,0.560124,0.682683
1.134606,0.017960,0.163634,0.204447
1.669822,-2.160139,0.459809,0.602377
-0.168268,-0.397879,0.780083,0.697933
0.105981,-0.315024,0.659433,0.192113
1.228405,-1.283201,0.386545,0.348139
-1.224093,1.504079,0.538852,0.671578
-0.266610,1.724426,0.297022,0.491312
2.451334,-1.426317,0.917448,0.792815
-1.070137,2.567435,0.878612,0.367036
1.111736,0.218988,0.920884,0.944231
-0.093001,-0.191305,0.634481,0.023125
0.835447,-4.068815,0.322565,0.466642
-1.090165,-1.865345,0.095569,0.910160
-1.491496,-4.182688,0.033666,0.045558
0.098817,-2.937362,0.757516,0.399105
-0.054924,0.625337,0.515776,0.402015
1.009705,1.493833,0.578485,0.450281
1.028480,0.590149,0.196297,0.725166
-0.127982,-0.081350,0.682158,0.237842
3.363140,0.431838,0.700057,0.613920
-0.733517,1.230300,0.825042,0.111219
2.423675,4.802090,0.240223,0.525191
1.140740,-0.652938,0.475247,0.939396
-3.380946,-1.851228,0.766983,0.169771
2.276809,-0.344119,0.386501,0.621387
0.497147,1.923843,0.226962,0.294243
-1.062610,-1.316303,0.695643,0.964431
-1.867905,3.493657,0.843029,0.251182
1.362006,1.352508,0.839444,0.169027
-1.787837,-1.026169,0.093401,0.167946
0.046681,-0.238844,0.391374,0.308258
-0.164499,-1.768653,0.843305,0.924189
1.315090,-2.942829,0.402646,0.945575
-2.498048,-3.753449,0.260721,0.368132
0.078173,-2.561345,0.706057,0.632298
3.195234,2.719429,0.240341,0.692360
-1.112148,0.722429,0.968787,0.797752
-1.402914,0.550164,0.763490,0.413879
0.844298,-1.757189,0.507979,0.976356
1.828816,0.284435,0.609300,0.531243
-1.051043,-4.120588,0.080753,0.023274
-1.497341,3.010813,0.805641,0.346120
-1.477163,-1.029325,0.082400,0.448520
-2.117180,0.296050,0.938159,0.972398
1.795396,-1.232187,0.489839,0.161114
0.525476,-0.736170,0.811115,0.002099
0.691754,-0.344745,0.670931,0.540170
2.648137,-1.144557,0.137623,0.823924
0.598438,-0.895019,0.382787,0.130417
0.792254,-1.122800,0.646059,0.895835
-0.890609,-2.048891,0.125031,0.062801
-2.841341,-2.681186,0.443358,0.656847
0.551841,-4.260065,0.207125,0.409814
0.414880,-0.985203,0.741569,0.301821
-0.335168,-5.885181,0.929191,0.537737
-0.485113,0.441612,0.593493,0.312167
3.375694,-3.745809,0.491136,0.409610
-5.343625,3.303972,0.162615,0.555020
1.258836,1.694978,0.704192,0.296347
0.071406,1.587308,0.083809,0.484945
-2.451385,0.104892,0.136789,0.911573
-1.965972,1.550078,0.518791,0.637794
-0.355787,1.254327,0.705276,0.234406
0.859058,2.216984,0.378440,0.564707
-0.734760,1.015840,0.715674,0.097175
1.778800,0.562212,0.769208,0.860037
1.354289,0.893972,0.920497,0.784004
0.768747,1.171278,0.618012,0.552403
4.565622,-0.845704,0.436539,0.526177
1.672321,-0.459045,0.340554,0.611547
-1.883381,-3.294982,0.550346,0.825666
1.676545,4.473835,0.962817,0.215987
4.121331,0.459353,0.699655,0.103123
-0.602400,-0.200640,0.010458,0.419065
-1.681485,-2.190114,0.286914,0.757273
-1.471218,0.879607,0.899453,0.768094
1.337493,4.525293,0.003955,0.705494
-5.642417,-2.345141,0.605849,0.995540
-0.536905,1.281672,0.763006,0.325434
1.285530,2.494811,0.891868,0.742281
-0.292722,1.658981,0.325350,0.359497
-0.565608,-1.210079,0.154211,0.831900
-1.589060,0.563293,0.435730,0.441133
-2.574596,1.233079,0.749677,0.028973
2.497655,-2.388509,0.838093,0.922046
-0.037524,-0.227084,0.777206,0.632489
1.601358,-0.490120,0.264556,0.988272
2.565385,2.386357,0.134425,0.695084
-0.533541,1.429414,0.463700,0.151466
2.612080,0.205033,0.764291,0.476050
-2.912945,-5.210515,0.673652,0.986308
-1.924452,-1.914448,0.089878,0.184699
0.933653,2.332510,0.279561,0.209491
-1.117624,-0.911831,0.276946,0.847078
0.670877,4.654401,0.493636,0.807851
-0.788078,0.047489,0.634934,0.543006
-0.638689,-0.651748,0.122869,0.192764
-1.389416,-0.105639,0.867530,0.216874
1.036448,1.848448,0.645498,0.370992
1.518409,-3.335377,0.534280,0.823138
1.606790,-2.969539,0.337855,0.468915
-1.577175,-1.958648,0.011773,0.785668
-2.448223,1.715947,0.432826,0.095180
3.290593,-2.325457,0.605788,0.548928
-1.613609,1.471950,0.128439,0.292742
-0.038942,0.505479,0.820356,0.027055
0.647405,-2.112902,0.492379,0.918117
-2.610701,-5.216581,0.930961,0.133914
-0.219093,0.353293,0.324181,0.865391
0.529040,0.026123,0.985521,0.282104
5.183129,-1.122067,0.949503,0.217609
0.175298,2.994097,0.973077,0.415831
-2.687226,-0.442666,0.427463,0.192852
-0.581348,-2.008927,0.922004,0.589578
-0.254482,0.647552,0.864890,0.225729
-0.981552,-0.638492,0.004929,0.048308
-2.510789,1.313267,0.870866,0.947952
-2.128790,2.105734,0.709373,0.350622
-1.989455,-1.207806,0.210791,0.132230
1.684657,-0.463462,0.145689,0.977547
-1.572657,-0.425872,0.417020,0.627800
-1.010002,3.501653,0.955158,0.724529
-4.126166,0.285649,0.833327,0.219597
0.477885,0.290937,0.823579,0.570872
-2.375385,5.145265,0.173208,0.226310
-0.209915,0.719810,0.107861,0.820097
-2.649322,-0.813766,0.903303,0.121344
-0.531598,-2.676290,0.800068,0.679120
-2.626937,0.649275,0.414358,0.185755
-1.836133,-1.798061,0.405807,0.381664
-3.153242,0.925773,0.493676,0.353769
0.939151,3.729498,0.633060,0.228749
0.521256,-3.160863,0.025718,0.719285
-1.935852,1.615908,0.761016,0.786841
3.480657,0.021893,0.463626,0.036328
1.801864,1.192018,0.064507,0.243204
-0.723043,-0.315557,0.126747,0.082321
2.187810,-3.500941,0.948287,0.363817
-2.093839,2.290490,0.336206,0.482999
2.358613,-3.046403,0.158046,0.975396
0.597572,-0.108828,0.251017,0.998470
0.611044,-1.855170,0.855419,0.500036
2.019132,-4.597047,0.148421,0.483455
-1.796709,2.164693,0.200004,0.793167
0.462791,1.799700,0.519955,0.809570
-1.005344,1.110407,0.006481,0.736888
1.426058,-1.966644,0.702103,0.548088
3.178493,1.685204,0.701489,0.300724
4.378461,-2.131018,0.030631,0.154816
-1.644926,-0.402835,0.309570,0.563974
0.408516,2.736687,0.391282,0.975354
-0.998830,2.580333,0.334989,0.352896
0.605772,-0.168594,0.688309,0.246555
3.581563,-0.960363,0.195296,0.578288
2.694824,-0.577859,0.107802,0.679437
-0.755396,-1.879694,0.210590,0.055123
0.067763,-2.648208,0.963687,0.874915
0.483803,-0.923099,0.035409,0.753804
-0.645858,-0.464056,0.134871,0.646375
0.378510,0.326665,0.921167,0.048693
1.616461,2.957769,0.141706,0.981516
-4.122615,-0.172546,0.620620,0.344167
6.203513,0.505419,0.422264,0.383036
0.106743,1.603803,0.323094,0.090681
2.053836,1.505507,0.260697,0.816643
-1.336919,-2.614191,0.601401,0.035062
0.126430,-0.241905,0.752248,0.834683
-1.111765,2.394943,0.813528,0.175314
2.277668,4.019117,0.940895,0.079745
0.521733,-1.727064,0.878335,0.955993
-0.172226,-1.103415,0.090317,0.494644
2.820609,0.434512,0.522725,0.736873
-3.792080,2.687438,0.098187,0.069219
0.014493,-1.521706,0.867024,0.653047
0.632323,1.237421,0.082251,0.593478
1.319478,0.359600,0.333165,0.796653
-0.419912,-2.468211,0.006168,0.761358
0.365929,1.776230,0.991353,0.244505
1.962960,-0.552947,0.487528,0.082597
-0.745199,-5.210853,0.771835,0.750768
-0.229173,-0.253764,0.981168,0.578626
-1.195036,1.102260,0.854603,0.587020
4.800699,2.513527,0.952113,0.515013
-1.079745,-1.458364,0.940713,0.366499
3.151020,3.468241,0.856279,0.402049
-1.162295,-1.554648,0.495569,0.386647
1.320708,0.099005,0.723238,0.411783
-0.389451,-1.859924,0.281028,0.180068
0.736996,-1.614613,0.999912,0.475814
-1.748393,-0.647413,0.388470,0.666484
-0.510267,-0.297904,0.271351,0.619853
0.547545,3.457164,0.123072,0.768880
1.017078,-1.838596,0.460029,0.825321
0.530210,-0.374095,0.194829,0.228311
0.429031,1.427724,0.760919,0.961111
2.128782,-2.238442,0.126659,0.560455
0.229737,1.500769,0.230832,0.796151
2.172329,2.770418,0.505875,0.227670
-1.049965,-2.814320,0.710232,0.136425
1.889642,-2.362947,0.438218,0.297612
1.204969,-2.042074,0.294604,0.070078
1.186028,1.679180,0.229900,0.190368
-1.827079,-2.622445,0.412173,0.227166
-1.812827,-2.407884,0.869197,0.729117
-1.202891,1.244642,0.656648,0.383119
3.340169,-0.442622,0.278395,0.829293
-2.732199,1.445678,0.070656,0.540270
0.307331,1.706462,0.553999,0.568641
-3.531318,-1.132318,0.689095,0.160748
0.626015,-2.460981,0.857487,0.488375
0.257881,-0.146555,0.488597,0.230186
-0.265836,-1.587555,0.411505,0.774186
-0.078480,-1.384562,0.658714,0.712841
-2.527663,-1.336426,0.156810,0.703897
-0.213035,1.132162,0.592666,0.417046
2.593209,-1.317815,0.681659,0.676220
2.521917,-0.309526,0.734089,0.226239
0.544809,-0.178376,0.727084,0.581123
1.296733,0.476334,0.996174,0.676273
0.848973,0.739883,0.097163,0.992449
-1.780332,1.733855,0.807649,0.952464
3.563729,-1.070042,0.078786,0.382656
-2.608241,1.121291,0.443224,0.190973
-1.139507,-3.730311,0.801880,0.407835
-2.390492,0.363724,0.742546,0.586449
0.985653,-2.019324,0.447942,0.824300
-1.054765,3.180502,0.939308,0.488622
0.155817,-1.858437,0.675514,0.013659
-1.296409,1.943477,0.513977,0.591307
2.219474,1.726719,0.148520,0.278418
-1.123580,-0.536207,0.820459,0.011758
-1.273536,-2.383062,0.531310,0.435214
0.024544,-0.655562,0.613722,0.687237
1.241320,-0.874225,0.157580,0.218047
-2.813691,-3.010576,0.694944,0.071106
-2.865394,1.080085,0.911391,0.300721
-0.577433,3.091637,0.099104,0.925805
-1.308459,-1.379522,0.234899,0.041394
-1.380043,-0.745232,0.684306,0.089946
-3.280712,-1.913171,0.003541,0.993476
-3.322618,-0.853996,0.527127,0.116749
-1.174707,-3.053517,0.413110,0.522326
-1.737897,0.844990,0.671833,0.213705
0.724274,-5.279534,0.364479,0.369027
-1.145113,-0.355930,0.373417,0.179383
2.330074,-0.876136,0.970917,0.819879
2.972818,0.634541,0.539031,0.125221
2.142103,-1.980839,0.465689,0.611455
2.048599,-0.987241,0.837605,0.685268
1.867409,0.439235,0.444038,0.369164
0.462129,3.211536,0.348961,0.505185
1.788764,-1.865951,0.756789,0.861252
-0.017406,1.537572,0.421948,0.669126
-2.477723,1.470352,0.063725,0.098662
0.387068,2.045749,0.938516,0.793104
0.581471,-1.663784,0.529513,0.630323
-0.002624,1.927360,0.380051,0.851288
0.944058,0.687937,0.095614,0.275684
-0.906365,0.491228,0.733815,0.370626
1.142653,0.977656,0.942413,0.076013
-0.726182,-0.005700,0.334632,0.680391
-0.300457,-0.409317,0.604725,0.953780
0.401032,-1.192468,0.764659,0.477280
-0.831230,3.708618,0.445051,0.349074
1.442711,-0.930791,0.011500,0.810256
0.931896,-0.323154,0.978286,0.381411
-1.277588,-1.190219,0.531281,0.493265
-0.570529,-0.458460,0.848779,0.276636
0.124382,-2.209367,0.029246,0.963908
0.983440,-0.707199,0.828759,0.808963
1.037296,0.866163,0.934219,0.115329
-0.102509,1.748096,0.544342,0.373135
-0.070770,-0.877743,0.319923,0.940434
2.402477,0.378572,0.176367,0.736402
1.841643,2.807894,0.209304,0.317884
-2.361209,2.063026,0.063865,0.238040
-1.092890,0.769400,0.333543,0.434326
3.114983,4.445145,0.377985,0.281537
-0.268081,-0.846846,0.684672,0.271921
-0.475179,0.830654,0.149882,0.635514
-2.666953,1.188369,0.390833,0.766545
-1.254813,-1.613663,0.907110,0.323660
0.276037,1.505298,0.182528,0.112207
2.102253,-0.789119,0.433902,0.524278
-0.248880,1.013841,0.353086,0.576581
-1.482174,3.861636,0.802920,0.296696
1.284663,2.067681,0.883518,0.322143
1.298555,-1.539981,0.769053,0.813720
-0.572828,1.541289,0.431333,0.338537
3.571621,2.271535,0.119365,0.383402
1.274321,3.435698,0.836269,0.541875
1.354368,-2.974538,0.753213,0.694404
-1.336543,0.150722,0.771597,0.399425
0.254885,2.129901,0.562862,0.342732
0.994245,0.462463,0.379777,0.266682
3.099353,1.149793,0.090977,0.304657
2.896305,1.564460,0.238522,0.349134
-0.542142,-1.658347,0.089818,0.130708
-0.899087,0.725343,0.298891,0.412815
-1.134727,-1.968999,0.490034,0.787548
3.990094,-1.683333,0.841877,0.307369
0.915003,-2.113057,0.270580,0.638306
-1.217643,3.019028,0.558804,0.639990
1.168884,-1.129243,0.864831,0.597663
0.342615,-2.663642,0.256904,0.887170
1.321678,3.368855,0.351110,0.906653
-1.369545,-0.976588,0.450146,0.586285
0.346134,-2.787353,0.257997,0.231660
-3.464544,-0.841485,0.202621,0.365729
-0.180214,-2.490563,0.968408,0.404391
0.800568,3.411630,0.698466,0.301074
-0.010033,-0.760022,0.944458,0.440532
1.372519,-1.582569,0.021807,0.534773
0.485944,4.013502,0.414411,0.836893
1.688061,1.513865,0.062318,0.403295
1.214710,-1.202178,0.777966,0.652854
-1.853221,1.060571,0.879862,0.119767
2.031108,-0.018141,0.799249,0.352928
-0.661773,0.640408,0.462612,0.650343
0.076523,-0.649451,0.874487,0.247428
1.793259,2.032472,0.478701,0.427759
1.859639,1.566629,0.895117,0.732522
-0.288885,1.287056,0.028224,0.384147
0.705574,0.248040,0.308958,0.668934
1.032092,0.172506,0.581657,0.675110
-0.142589,-3.687213,0.310780,0.867712
0.239495,1.873363,0.975912,0.509548
2.564710,1.054112,0.385859,0.623613
-1.128379,-1.669465,0.477907,0.900625
-2.614770,0.411420,0.111369,0.142801
0.467996,2.728114,0.597557,0.830229
-1.447900,-1.134464,0.612176,0.990783
0.316447,0.012151,0.216757,0.427314
-0.439364,0.854654,0.251068,0.826274
-0.075571,-1.388014,0.723529,0.527559
2.729142,0.665317,0.296304,0.723472
-0.215833,-0.814691,0.341535,0.250545
-2.474352,0.617159,0.039660,0.288086
-5.046502,2.324355,0.891039,0.210468
-2.196423,1.879911,0.946434,0.672944
-4.779751,1.349093,0.207474,0.560111
1.377986,-0.934531,0.015218,0.934045
1.859543,0.468725,0.906089,0.188176
-1.004628,-2.035949,0.839714,0.162233
4.176361,-0.581999,0.805827,0.769994
3.485363,-0.297809,0.801982,0.455849
-3.211090,0.231269,0.089046,0.093712
-1.644899,-0.185820,0.556963,0.696214
-0.278768,-0.882581,0.039247,0.231316
-0.041733,-0.817703,0.475146,0.874486
-2.570703,1.204946,0.539879,0.825667
-2.599095,0.967509,0.574304,0.647407
-0.666096,2.154714,0.275925,0.107343
-1.201094,-2.244723,0.195368,0.617818
0.015738,0.610704,0.899028,0.462448
-0.887552,2.805106,0.590063,0.097391
0.222183,-2.964900,0.374335,0.302249
-2.630591,3.523700,0.542797,0.434610
0.333071,-0.964926,0.433169,0.537540
-1.276674,2.279792,0.674278,0.429833
-3.185905,0.050359,0.349715,0.155810
-3.082377,0.043663,0.786522,0.605093
0.616519,3.640615,0.577102,0.189852
-1.563540,-0.345517,0.851371,0.007639
0.880053,-2.285167,0.441507,0.466386
-3.760511,0.228068,0.432877,0.509311
2.854061,2.950995,0.418490,0.923092
-2.251126,-1.182826,0.870745,0.512608
-1.735893,-1.541746,0.880578,0.956931
-1.439584,-1.718393,0.823703,0.964685
-1.767826,0.328762,0.271281,0.396540
-1.266715,1.749706,0.658494,0.655186
0.381158,-2.046568,0.383305,0.799717
1.741334,0.568959,0.834078,0.277303
-1.081844,1.226738,0.803072,0.704815
2.441952,-3.203675,0.006568,0.706535
-0.897025,-2.526193,0.671604,0.138281
1.418667,-0.325618,0.400519,0.453718
1.556716,-0.677818,0.470359,0.020742
-0.192629,2.644409,0.908601,0.938207
0.351474,0.571438,0.691788,0.477654
-1.653966,1.835498,0.072054,0.137508
-2.671844,0.618695,0.917248,0.056805
3.287475,-2.492890,0.480479,0.349936
-0.687906,0.943524,0.450590,0.513194
3.352381,1.728213,0.486171,0.019195
-2.831670,-0.172968,0.694994,0.554651
1.897742,-0.677702,0.353143,0.679699
-2.124145,0.331801,0.638983,0.885711
-0.970181,1.553430,0.707427,0.709547
-0.383840,1.942649,0.690988,0.915643
-1.906581,-0.658479,0.087759,0.221748
0.484209,2.291004,0.498212,0.564542
0.037076,-2.779819,0.781098,0.823669
-1.550149,0.545064,0.392227,0.607968
1.340387,0.891322,0.297853,0.240597
-4.823898,0.197692,0.001904,0.147622
2.576109,-2.059384,0.053621,0.276190
1.220404,1.523070,0.089930,0.205784
-0.012899,-1.729687,0.025832,0.804884
-0.125318,2.121383,0.447471,0.526079
1.249243,0.057175,0.343651,0.361257
1.327013,2.889597,0.578470,0.357654
1.033433,1.085832,0.766906,0.924895
2.086932,0.153624,0.685788,0.988016
2.097319,-3.626587,0.092302,0.880323
0.153500,3.289838,0.620896,0.492036
3.620600,-2.123431,0.592577,0.063951
1.245783,0.178869,0.055678,0.523540
0.136387,-0.435882,0.798386,0.851814
0.251891,3.000826,0.145009,0.169063
0.099498,0.755934,0.739345,0.992816
0.188853,-2.000564,0.334054,0.313712
-1.582002,-0.949776,0.023973,0.066237
0.816143,-1.798355,0.720831,0.095555
-0.086349,-0.922333,0.886423,0.000220
-0.642813,0.242240,0.415133,0.626857
0.328536,1.964126,0.387959,0.923552
0.056815,1.478846,0.664410,0.186822
-2.989656,-4.485425,0.133691,0.000961
-0.476392,0.902824,0.583753,0.711315
-1.084703,-0.938639,0.658772,0.793388
-1.404312,-3.165617,0.023589,0.602065
-0.747503,-0.069046,0.277201,0.205381
1.444569,1.251618,0.556292,0.768428
0.451976,-0.680158,0.830141,0.372185
0.778238,0.298680,0.146096,0.166753
-1.260373,-0.093242,0.844274,0.723106
-2.579037,-1.190607,0.377592,0.162803
-0.117794,-1.390161,0.427220,0.594140
-2.787045,-0.001576,0.088988,0.110955
-0.220860,-2.294661,0.074523,0.987483
2.485029,-0.287238,0.758493,0.210336
0.245311,-1.040523,0.569117,0.203107
0.219650,1.728981,0.617133,0.587413
-2.764683,-0.691816,0.137975,0.783676
1.241831,1.156290,0.945871,0.351547
-2.186397,-0.079087,0.223535,0.961683
0.949399,0.113445,0.142647,0.801887
1.135154,-0.376075,0.104363,0.431721
-6.138187,-1.222511,0.023623,0.388505
0.887996,-0.710921,0.696853,0.853519
2.162978,-1.372451,0.203352,0.923826
1.272390,1.367054,0.687125,0.839996
-1.539116,0.639246,0.606091,0.322991
0.177405,1.180294,0.982443,0.883813
2.281984,-0.712777,0.737460,0.418283
-2.030460,1.808037,0.609108,0.451030
-2.160115,-2.560699,0.583713,0.053282
-1.942009,-2.542331,0.612608,0.265673
0.696933,1.463111,0.870833,0.029421
-1.907635,-0.955666,0.533121,0.903797
-0.715944,-2.587562,0.332948,0.266790
0.669662,2.662249,0.281047,0.646973
-0.410518,0.821946,0.658197,0.112378
-0.674818,-1.281692,0.037543,0.084872
-1.846805,3.792321,0.040938,0.399699
0.556441,2.565982,0.056948,0.521060
0.508987,-0.344607,0.668459,0.690130
-0.082046,2.618602,0.151353,0.170279
-1.599270,0.609024,0.331781,0.304606
0.167674,-0.871823,0.620327,0.466920
1.137362,0.567158,0.683656,0.219956
1.251432,1.511028,0.300059,0.269832
2.254715,0.046114,0.726378,0.464769
-5.698246,-1.008405,0.275801,0.559359
0.026780,0.338976,0.505342,0.460816
1.380426,-2.087025,0.430841,0.199063
0.039051,2.009452,0.967891,0.188192
