O_A,O_B,S_A,S_B
-0.833363,-1.830493,0.414649,0.679042
0.681011,0.133789,0.124483,0.159618
0.321228,-0.045398,0.617826,0.962274
2.974667,0.417197,0.442093,0.038155
1.203367,0.140559,0.864575,0.206325
-1.426145,-0.997323,0.733196,0.727717
1.21872,-0.194262,0.671828,0.993217
0.787486,-3.215265,0.925534,0.336399
-1.404365,-0.14712,0.997774,0.3195
-1.101676,-0.516623,0.364018,0.042971
-0.902569,-0.621307,0.515567,0.649939
0.459027,-1.073184,0.778971,0.79005
3.002526,0.183232,0.099859,0.594623
0.896506,-1.122028,0.346114,0.757612
-0.413187,-0.175429,0.538222,0.966926
-1.735163,-2.034395,0.588492,0.166537
1.71101,-2.790836,0.959589,0.730972
-0.263122,-1.389379,0.797853,0.757844
-0.628953,-1.423789,0.22693,0.403175
0.547644,0.609295,0.176033,0.187453
-1.999007,1.501035,0.664476,0.565388
-2.366779,-0.607757,0.795707,0.737165
-1.402002,0.015283,0.008633,0.685162
3.347426,-1.053429,0.671187,0.634825
0.506254,0.353021,0.254247,0.533364
2.958393,-0.423535,0.939625,0.382752
0.258706,-0.008951,0.664256,0.05596
1.827116,-1.157716,0.958512,0.766715
1.755642,-1.163745,0.839762,0.232817
1.413609,0.776506,0.55706,0.176578
1.832244,0.447976,0.137191,0.796599
-1.727123,-0.11776,0.845056,0.79791
-2.565445,-1.333407,0.194,0.322587
3.755575,-2.478824,0.5328,0.500063
-1.373689,-0.117778,0.54752,0.040715
1.814428,-1.386085,0.651864,0.32877
-3.397898,1.285627,0.630259,0.947446
-0.181882,1.760319,0.102843,0.440137
1.561144,-1.842995,0.542085,0.565073
-1.527684,-2.722468,0.000441,0.991905
2.090224,-2.192826,0.394151,0.897563
-1.290454,-0.371517,0.505843,0.007044
2.08609,-1.622527,0.786353,0.918142
0.341965,-1.503403,0.19778,0.53957
-0.374242,0.86083,0.695486,0.29147
-3.602243,2.530956,0.983364,0.557601
0.796288,0.30539,0.201463,0.162539
-0.105335,1.273249,0.532946,0.18642
1.437305,2.548274,0.282791,0.262622
0.562642,-0.936093,0.986577,0.670411
-0.131619,1.014021,0.610885,0.603152
0.946057,-2.269732,0.484342,0.894586
-0.079818,-1.321116,0.656616,0.696322
2.236092,-1.126686,0.113717,0.796826
-1.501554,-0.02492,0.464091,0.770811
3.292933,-0.495731,0.215029,0.733652
-1.950007,-0.228582,0.465718,0.009437
-0.088101,0.454096,0.680885,0.052156
0.21035,-0.01574,0.950828,0.841906
1.400228,-1.070019,0.403975,0.586072
-0.874246,-0.920546,0.334993,0.61516
1.195735,4.222549,0.263936,0.632341
2.493899,2.420415,0.23163,0.148851
-0.84488,-1.804992,0.18966,0.856662
-2.270978,1.588583,0.195798,0.979435
0.569209,1.528581,0.009863,0.409607
2.490549,1.796774,0.286407,0.306807
-1.995553,-2.267608,0.293467,0.166453
3.780715,3.281359,0.469599,0.635135
0.868084,1.233338,0.387569,0.305309
0.446008,-3.081409,0.635002,0.958936
0.740022,-1.756913,0.646492,0.533569
-2.238504,1.381694,0.093896,0.81777
-0.551151,-2.614516,0.382551,0.224474
3.282923,-1.982998,0.637973,0.844374
1.399749,-0.824623,0.104714,0.663893
-0.663642,1.453649,0.001638,0.867046
-2.43585,-0.823211,0.415679,0.376987
1.966606,-2.656719,0.973023,0.555993
0.680054,2.943831,0.449016,0.606525
-3.065155,3.811134,0.31945,0.629578
1.063402,2.019395,0.913572,0.330083
0.360462,-0.926162,0.625277,0.683144
0.294418,-2.770955,0.462136,0.094033
0.102934,-0.436393,0.987885,0.447698
-4.266051,1.923118,0.616754,0.838819
0.77536,-1.142655,0.082001,0.669047
3.886155,-0.43145,0.780329,0.205582
-0.36516,-2.167884,0.128628,0.270179
1.071029,0.027068,0.408256,0.911902
-0.182448,0.210648,0.914457,0.666609
-3.502235,-1.780286,0.085416,0.302094
-0.287088,0.433727,0.526285,0.695549
0.348544,0.509033,0.418485,0.321629
0.235405,1.76934,0.834467,0.816833
-2.104156,2.898763,0.363983,0.822368
-4.777792,-1.568492,0.333807,0.540198
-1.651356,-2.107556,0.162258,0.579759
2.716341,-2.251048,0.999984,0.749809
1.671615,2.296647,0.092552,0.134505
0.231449,0.259088,0.403358,0.538748
-1.63876,-1.589784,0.084545,0.043234
-2.682822,-6.67593,0.234828,0.315906
-2.792859,0.305244,0.690641,0.935633
0.026908,-1.153436,0.326345,0.686198
2.582346,3.765518,0.750186,0.203339
0.72165,0.131329,0.341567,0.408409
-1.607427,1.722892,0.6688,0.315369
2.185919,-0.478859,0.685717,0.260599
0.994558,-1.876099,0.57676,0.292078
-3.417636,3.760461,0.839039,0.593458
1.05252,0.433178,0.654447,0.309599
0.611256,0.610175,0.802633,0.42942
1.885955,0.065387,0.080074,0.406854
0.093868,-0.297216,0.924465,0.97955
-1.631347,3.853139,0.987861,0.294666
-1.585743,2.196276,0.866352,0.048433
-1.755359,3.290051,0.679225,0.696426
-2.075219,1.210114,0.255327,0.437487
-1.024953,1.561991,0.91575,0.88675
0.552441,-0.90074,0.011074,0.784201
2.910531,-3.010015,0.832283,0.776411
2.179776,-1.866234,0.950253,0.989091
1.125854,2.926589,0.682028,0.367305
-1.6141,0.738561,0.654028,0.668216
0.609221,-1.673636,0.848566,0.435012
0.115381,0.155745,0.218022,0.604369
-0.25112,-0.823876,0.179281,0.719965
1.108787,3.226675,0.245084,0.919943
-2.781341,-1.020006,0.303253,0.783429
1.349547,-2.436867,0.49529,0.093531
-0.957888,-1.401064,0.926158,0.325298
1.088667,-0.059866,0.952512,0.50351
-1.756677,-1.450752,0.421663,0.114906
-4.271671,3.103537,0.48453,0.894552
0.285033,2.269911,0.649963,0.424965
-2.07189,-2.45569,0.712798,0.007248
0.484145,0.530749,0.133392,0.373669
-3.341604,-3.260604,0.203895,0.095623
-2.07693,3.352399,0.494657,0.526438
-2.148257,0.786253,0.730065,0.017778
0.83935,-1.295415,0.238437,0.714627
-0.461171,1.292994,0.527102,0.755463
0.271228,-0.842899,0.795756,0.074074
1.572982,1.233085,0.813292,0.030443
-0.777774,-2.117756,0.939947,0.386781
-2.832096,-0.894612,0.332515,0.491402
0.292842,0.339276,0.561461,0.207638
-1.115006,-1.506463,0.549068,0.557373
1.620133,-1.799333,0.914869,0.374353
-1.751508,-1.41614,0.296164,0.724971
-2.866355,-1.618251,0.067333,0.222118
1.427337,1.519838,0.035544,0.09709
-2.242223,3.307417,0.451142,0.502783
-1.005014,1.8016,0.196641,0.645665
-1.616154,1.065591,0.939214,0.403644
2.857784,-1.798035,0.931723,0.053352
0.578736,2.207115,0.308016,0.483622
-0.486743,0.278249,0.170893,0.27678
0.185528,0.727047,0.827184,0.150442
0.139191,0.050533,0.838972,0.864002
-0.819421,-2.130519,0.947997,0.242524
0.31125,-0.823459,0.434041,0.653387
1.044793,1.098182,0.464492,0.48768
2.307519,-0.597276,0.694765,0.844644
1.207972,-2.876549,0.360329,0.572257
1.735897,3.205247,0.577201,0.132286
2.703223,-4.438308,0.862088,0.572768
-1.666972,-1.275911,0.102139,0.072373
0.272369,1.332296,0.238937,0.414075
-2.038556,-0.411226,0.175208,0.950986
0.072443,2.632887,0.025344,0.832238
1.516853,0.133183,0.082486,0.213778
-0.746098,-1.531805,0.8547,0.312791
-0.999625,0.11957,0.57891,0.987658
-0.95794,4.590966,0.223724,0.371521
-0.294808,-1.773577,0.578514,0.515538
-0.299512,1.052085,0.571373,0.946457
-0.932489,0.684463,0.994457,0.902905
2.290119,-2.288927,0.824385,0.918579
1.293652,-0.908318,0.442049,0.945131
1.180229,-1.15114,0.544903,0.231111
1.832176,-0.448271,0.336592,0.337301
0.239503,2.385087,0.260343,0.177962
-0.772,-0.819683,0.439221,0.416671
-1.510931,-0.791048,0.004119,0.837625
0.181374,1.255909,0.535602,0.430481
-0.700362,1.422402,0.874207,0.716771
-2.401924,-5.736128,0.512156,0.38683
-1.850118,-1.435354,0.099363,0.259801
0.251777,0.279865,0.052773,0.29038
-2.127545,-3.192769,0.236152,0.496818
0.700654,0.750907,0.06015,0.081698
1.775776,3.266324,0.098719,0.49816
0.502093,2.127422,0.629569,0.086671
-1.069517,-2.904829,0.434275,0.23241
2.014789,-0.330917,0.621092,0.764941
-0.648872,-2.197028,0.03744,0.513749
-0.036768,0.711876,0.247403,0.903585
-2.020597,-1.600501,0.815676,0.052744
-1.756837,2.822051,0.771171,0.896918
1.807269,-2.36357,0.986695,0.574249
0.544842,3.434066,0.421251,0.33025
-0.899766,-3.276719,0.622942,0.491643
-1.550941,1.637645,0.965889,0.743753
1.585084,-0.846825,0.979459,0.852899
-0.741406,-1.486878,0.883509,0.798076
0.467432,-0.652253,0.825639,0.993132
-1.20797,-1.490245,0.213311,0.280917
-2.626963,-1.834503,0.46033,0.698245
-0.829103,-0.961455,0.001802,0.448451
-1.323444,-0.229407,0.40882,0.910324
0.110033,-0.814063,0.868187,0.614146
-1.293787,0.791155,0.355556,0.641839
1.13986,-0.148617,0.704588,0.613857
-4.008909,3.078529,0.850415,0.340882
-1.464328,0.435414,0.506999,0.568633
1.635256,-1.870799,0.503479,0.829091
4.736615,-4.298575,0.914888,0.5822
-1.951462,1.831139,0.972731,0.734693
-0.953706,-0.431479,0.911194,0.382227
0.429756,0.18707,0.238531,0.146879
-1.023343,-0.119634,0.837753,0.686778
0.994209,0.621187,0.996055,0.061193
-0.251627,0.007378,0.49263,0.95603
-0.479248,0.790853,0.224614,0.772276
0.843332,1.176853,0.50778,0.253306
-0.781378,-0.737553,0.849283,0.63458
-2.126767,-0.275394,0.590354,0.397977
0.946451,1.32592,0.190003,0.161248
-3.567132,3.274909,0.804396,0.996639
0.863164,-0.74482,0.156452,0.485099
1.53467,-2.190841,0.767394,0.686991
-2.359388,-2.021868,0.349487,0.70607
4.232546,-0.863271,0.244755,0.948084
0.216395,-0.154243,0.180356,0.392513
-1.769859,1.917011,0.112418,0.878556
-0.151849,0.953548,0.573798,0.751932
-4.764577,-1.972812,0.294103,0.584087
-2.126367,-1.220517,0.030606,0.551456
-0.9924,0.28357,0.356526,0.140369
-3.791624,0.568454,0.998259,0.383805
-1.257904,-1.892241,0.010474,0.077811
3.440415,0.477548,0.360205,0.020531
1.85465,-0.706749,0.725752,0.128089
0.036727,-0.54414,0.581108,0.824514
-2.306954,-1.474134,0.908924,0.381751
-1.018414,1.356082,0.812372,0.252534
-0.489171,-1.043057,0.481634,0.583761
0.461216,-2.342491,0.998433,0.143124
1.562444,-1.186241,0.666248,0.932649
1.414287,-1.539508,0.167732,0.680091
0.554286,2.267745,0.363961,0.141154
-1.588329,4.242924,0.29391,0.822852
-1.681022,-3.584975,0.464619,0.648598
0.91221,-0.316017,0.204767,0.128985
-3.219576,-0.702439,0.787345,0.347641
0.129897,0.542607,0.441041,0.136233
0.729042,0.902321,0.994244,0.191859
-2.149571,1.750513,0.848355,0.911828
1.20718,-1.211165,0.593082,0.785584
-1.785182,0.074374,0.630239,0.906125
0.431462,1.980323,0.395913,0.614954
2.018736,1.598426,0.066336,0.468149
0.310512,1.267959,0.186986,0.996239
1.003837,1.633151,0.341013,0.68877
-0.772925,-0.638346,0.111746,0.855737
0.241994,-1.500895,0.741132,0.587126
-1.08412,-3.048116,0.646625,0.54381
0.682823,0.824899,0.250855,0.056356
0.722239,-0.550267,0.204496,0.749873
0.03512,1.452971,0.215656,0.121363
-2.206376,0.670533,0.942382,0.617922
-0.877775,0.51427,0.795252,0.598218
1.633072,-0.702548,0.750335,0.194013
0.461169,0.154496,0.684424,0.419822
-0.079957,-0.416052,0.990839,0.687787
-1.844306,-3.443999,0.758102,0.059107
2.398451,-1.757696,0.149917,0.693626
1.788231,0.845881,0.939348,0.101765
1.247205,-2.438572,0.839605,0.532581
0.583715,0.479977,0.10656,0.38013
0.217531,-2.988874,0.588649,0.606375
-0.86405,-1.955295,0.066218,0.274341
-2.167725,1.826789,0.698711,0.855106
0.810285,-0.581326,0.058468,0.442644
2.394162,2.072528,0.194819,0.120646
-6.07127,0.106661,0.850153,0.01288
-0.903537,1.483944,0.773801,0.848773
0.174176,-1.792552,0.958712,0.210228
-1.960412,-2.449931,0.790956,0.371184
1.669966,1.412092,0.685663,0.619676
2.212894,-3.128578,0.312969,0.448139
0.436527,-1.885441,0.740077,0.149259
0.536835,0.957461,0.715678,0.343192
-2.04113,-2.473578,0.411796,0.024634
-0.914367,0.7941,0.616089,0.100102
-1.134983,-0.153324,0.58428,0.590434
-1.532128,-0.200527,0.082564,0.873394
5.432085,0.767959,0.230285,0.593063
-0.010712,-1.390752,0.55874,0.520206
1.840877,-0.09518,0.705518,0.574278
0.903689,1.821935,0.127607,0.188163
1.257035,2.020075,0.080796,0.812032
-0.283488,-3.049419,0.458012,0.421851
-3.32927,-0.329615,0.328849,0.199783
-2.708246,-0.236121,0.490016,0.606437
-2.490172,1.533776,0.323062,0.820451
0.337754,0.784895,0.057031,0.694722
-1.518896,0.031019,0.739695,0.898786
0.687841,-0.722028,0.676212,0.233693
-0.165915,4.610626,0.357862,0.511389
1.47372,2.593573,0.270106,0.700885
1.133636,1.319411,0.243995,0.536057
-1.710167,2.566384,0.795439,0.607576
1.774438,0.48166,0.336547,0.459119
-0.042047,-1.258416,0.884986,0.711006
0.196143,1.603575,0.015705,0.841056
1.955198,0.902388,0.237712,0.336691
-0.769889,2.606083,0.48058,0.762659
-3.503953,1.048947,0.982285,0.408735
0.107646,1.793144,0.021217,0.690891
-2.585347,-2.146073,0.000737,0.250846
-2.614845,-0.897129,0.186175,0.237649
-0.510193,-0.860688,0.862538,0.555754
-1.259822,0.879134,0.157384,0.515933
1.316536,-0.264945,0.156088,0.742066
-1.36828,-1.821379,0.057455,0.608254
-2.83151,-1.425793,0.294303,0.320162
-2.31793,-0.354006,0.650748,0.14051
-0.66106,-0.204121,0.779505,0.024263
-2.248096,-0.918601,0.966796,0.425196
0.003339,-0.718134,0.572619,0.141624
-1.828956,2.384999,0.476973,0.863543
-0.974784,-4.451148,0.57743,0.242377
-2.327412,-1.271079,0.350025,0.319451
0.748728,-1.737459,0.026525,0.915982
1.080854,1.378564,0.013942,0.004816
0.57513,-0.040838,0.348005,0.62643
-1.060966,1.643119,0.898224,0.943396
-2.027444,-0.133221,0.727664,0.383462
0.756377,1.123059,0.255182,0.334072
0.233808,-0.934486,0.41808,0.023171
1.179578,-2.080654,0.70422,0.890183
-0.866861,0.295333,0.584462,0.820534
-0.202827,-0.444852,0.200072,0.210263
-2.44913,-0.698514,0.169253,0.587891
0.583471,-2.93822,0.447246,0.889663
2.453317,-1.667107,0.908371,0.516394
1.496729,-0.281085,0.627872,0.614009
5.598305,-2.958366,0.358285,0.819116
1.799715,-1.14202,0.469067,0.884065
0.031309,0.376225,0.661821,0.568881
0.086067,-0.577926,0.744957,0.320649
3.580941,0.451068,0.91877,0.156799
1.037139,-0.656282,0.011002,0.536276
0.219801,-0.360228,0.415119,0.569296
-1.108442,-0.754892,0.180835,0.455599
-2.5828,-0.268573,0.17298,0.991231
0.239423,-0.099223,0.068937,0.539987
-1.819628,-1.575359,0.566643,0.640555
-0.230359,-0.322228,0.890505,0.04726
1.858346,2.539584,0.017809,0.456225
3.362079,1.406605,0.237865,0.599649
-1.73539,1.434486,0.724743,0.655026
-1.953464,-3.455265,0.361608,0.487925
-0.692149,-0.935883,0.828445,0.713405
2.685647,0.790031,0.235497,0.80011
-3.004811,2.737934,0.995809,0.328769
2.45346,-1.838734,0.348795,0.684355
1.554752,-0.76924,0.371248,0.544296
-3.228146,-0.725681,0.018843,0.513023
-2.339904,-4.016064,0.119153,0.339709
-0.343188,0.034886,0.359171,0.352623
1.981241,-0.050988,0.087442,0.459322
-0.214708,0.953275,0.184264,0.44062
-0.983085,-1.925515,0.409593,0.237045
2.008123,-0.830549,0.411512,0.641394
-1.962702,-0.436731,0.499883,0.870724
-3.782058,-2.552713,0.162195,0.632985
3.70855,-2.297208,0.998329,0.390021
0.107514,-1.070777,0.231107,0.995784
1.252865,-1.786276,0.580522,0.872827
-1.512951,0.809963,0.868783,0.528329
4.237603,1.691649,0.497338,0.28179
0.671222,0.181108,0.457106,0.512743
-3.389213,-3.884344,0.853151,0.050278
1.049743,-2.218249,0.351717,0.786676
2.770715,1.231203,0.163615,0.365265
0.769713,0.16059,0.978818,0.708946
0.047507,0.63221,0.295076,0.333514
-0.078645,0.799301,0.982352,0.332002
-1.378509,1.554157,0.485759,0.51618
1.359362,0.404267,0.914453,0.724914
-1.145224,0.359755,0.541781,0.973052
0.175353,1.338797,0.946178,0.50608
0.692823,-0.268681,0.031098,0.732967
0.54698,0.700805,0.054667,0.935383
-0.120352,0.261972,0.789495,0.914734
0.848909,1.696226,0.373096,0.343447
1.119474,-0.083367,0.692396,0.10316
-0.221045,-0.308249,0.08766,0.791722
-2.832316,0.104316,0.150248,0.603723
0.189205,0.98266,0.285704,0.412734
-1.468958,-1.979441,0.14703,0.463207
0.316786,-3.654569,0.861297,0.063542
0.250715,2.057159,0.170458,0.179819
-0.888993,0.003644,0.633793,0.994856
0.077673,-1.457419,0.583993,0.356932
1.234252,-2.066974,0.583647,0.789336
0.180745,3.339506,0.823362,0.640982
-2.998345,3.869084,0.583323,0.745027
2.856454,0.343488,0.566792,0.601105
-1.210912,1.397222,0.322834,0.655165
-0.88953,-2.771798,0.719903,0.075033
-0.414534,0.215354,0.478787,0.314929
-1.444579,0.530974,0.391748,0.605158
-0.207578,-1.961678,0.370411,0.37868
0.505217,-1.02533,0.913569,0.975586
-1.262284,-2.613652,0.64368,0.661453
-1.941739,-0.414659,0.397129,0.704435
-0.842005,-2.539055,0.652199,0.443419
0.905093,-2.595356,0.054065,0.837321
2.82698,0.74891,0.509764,0.409459
2.011938,-0.281509,0.881828,0.436024
-3.154165,4.21302,0.652037,0.953829
-1.955881,1.480697,0.772269,0.827496
1.973289,-1.370014,0.980911,0.226036
-0.02733,0.307782,0.64033,0.871697
0.192006,0.512636,0.064559,0.283911
-0.429415,2.561309,0.098213,0.800598
-0.9417,2.741897,0.1337,0.649921
-2.663306,-0.793534,0.735487,0.36957
1.84341,1.539455,0.201102,0.738771
0.628489,0.968749,0.152182,0.341941
1.479772,1.477135,0.323705,0.930022
-1.097702,-0.808673,0.281584,0.106843
-2.349123,-0.503406,0.246708,0.967833
-4.509489,-4.31235,0.138292,0.049044
0.111771,0.697779,0.831186,0.747689
-0.196607,-1.789798,0.73075,0.100287
2.645445,-0.039939,0.37007,0.518268
1.744216,-0.895907,0.712882,0.113787
1.144128,-1.614486,0.415558,0.97414
0.679469,1.175346,0.127102,0.593639
3.212107,3.387322,0.054404,0.292019
-2.2107,1.94078,0.713561,0.326765
1.352552,-1.986573,0.876829,0.734192
-1.175411,-0.951935,0.638943,0.58635
2.380743,-1.549694,0.468484,0.834655
0.953546,-0.057908,0.604084,0.38847
-1.884129,1.677235,0.241708,0.536002
1.262531,-0.744475,0.858211,0.876083
1.738805,-1.545404,0.432189,0.027852
2.498731,0.142568,0.738358,0.632248
0.26274,0.122713,0.145413,0.805067
2.059502,-2.560843,0.64025,0.760593
1.523395,3.716528,0.058005,0.797552
0.512949,-0.237834,0.531791,0.950038
1.345566,1.620218,0.451425,0.102984
2.124992,1.273807,0.266567,0.334365
0.862773,0.38468,0.029435,0.358976
-0.958814,2.25606,0.800293,0.0821
-0.235907,-0.594251,0.348501,0.373784
-3.248042,-1.98605,0.228705,0.478973
-1.163115,0.792271,0.60732,0.587291
-1.221793,-1.381016,0.018441,0.152604
0.911224,-0.966378,0.493226,0.779119
2.163539,-0.213273,0.312019,0.850754
-1.41707,0.339489,0.072591,0.986163
-1.162989,1.247769,0.387618,0.161168
-1.533439,1.339604,0.821629,0.993973
0.860787,3.366578,0.33612,0.289676
-1.698736,-1.302932,0.251274,0.330743
-0.364826,2.336625,0.726544,0.090455
-1.021161,0.771369,0.144746,0.400526
-1.590171,-1.567056,0.098096,0.719674
1.048226,2.258993,0.144343,0.548149
0.375429,2.226977,0.236192,0.289032
-0.716151,-0.143306,0.653999,0.601146
0.783044,0.867043,0.123172,0.545931
2.752629,-1.443716,0.685973,0.263579
-0.672975,0.762826,0.133977,0.901398
2.350249,0.867687,0.7189,0.607822
-3.257721,-1.031363,0.461391,0.165617
0.566543,2.254026,0.693196,0.529916
0.982434,-1.19353,0.929502,0.936857
0.427044,1.697961,0.736664,0.076982
0.633827,0.237342,0.225901,0.713647
1.057052,-3.07758,0.542419,0.692876
-0.310927,-3.407995,0.931886,0.392722
3.730982,-0.487452,0.192317,0.755029
-1.379768,1.797856,0.960268,0.840892
-1.693995,0.992372,0.429393,0.518857
-0.407964,1.304045,0.676674,0.866908
2.58212,-0.130311,0.2746,0.684074
2.284781,0.747229,0.463631,0.462679
1.985076,0.510101,0.802785,0.342047
1.891334,0.099569,0.883053,0.296582
1.061072,-4.496617,0.388056,0.955987
-1.143864,2.459527,0.122456,0.68309
-2.494805,2.204309,0.072511,0.953205
-0.638188,-0.687426,0.880331,0.911882
1.012916,2.258933,0.609172,0.019048
0.362036,-0.190351,0.089442,0.727995
-0.207954,0.771907,0.419592,0.826055
1.10911,2.325889,0.199222,0.13647
-1.781358,0.105563,0.634516,0.138886
-1.341708,-0.124697,0.282628,0.910346
-1.382354,2.745064,0.552412,0.197044
1.357506,0.720921,0.510365,0.629118
2.105222,1.13814,0.667773,0.622261
-0.766179,-0.314311,0.234418,0.42828
-1.506583,-2.634855,0.247374,0.219626
0.173843,1.53323,0.834957,0.019174
0.237334,-0.302196,0.610751,0.974896
-1.774251,5.92915,0.847442,0.226905
1.667506,0.560368,0.45631,0.229772
2.112738,-1.172462,0.487659,0.682918
-0.832857,4.020036,0.377807,0.711267
0.786385,-0.519887,0.753292,0.787795
1.239898,-1.881218,0.63373,0.841728
2.242206,-0.269653,0.14655,0.883425
1.626162,1.386113,0.886143,0.082978
1.06503,2.356919,0.687157,0.236532
2.651566,3.49113,0.320846,0.160932
-0.595908,-0.602835,0.229125,0.092126
3.033338,0.630987,0.217323,0.943884
-1.01755,4.053719,0.409497,0.598833
0.187299,0.171044,0.57039,0.504939
3.548588,2.954617,0.756651,0.184245
0.030197,0.417359,0.229659,0.376231
3.784284,3.742514,0.029494,0.264762
-2.353173,1.052563,0.571836,0.576817
-0.363159,-0.958597,0.263094,0.412464
0.836514,-1.68672,0.606635,0.649975
-2.422202,1.169848,0.518502,0.770101
-3.348188,-3.126819,0.05907,0.040308
